OTUID,006W4,010W4,014W4,015W4,016W4,017W4,018W4,103W4,104W4,105W4,106W4,107W4,108W4,109W4
ccb619292de699076559494cdef3f9ef,0,0,0,0,121,0,0,0,0,0,0,0,0,0
6078cf2e7ceb5927918b26dc44302bef,0,165,179,0,0,0,151,0,0,0,0,0,106,0
18c0d9f42fa2535bbb9e554ff7800f16,0,0,0,71,0,0,0,0,0,272,0,0,933,153
c98d198ec15f6a655de59a858f95974a,0,107,0,0,0,0,0,0,0,335,0,0,963,0
ff70b1b27e33cc404eaa28bf321d4f87,13,0,0,0,0,0,0,0,0,0,0,0,0,0
4de51e88d526470274e631c5df28cefa,0,131,0,0,0,0,0,0,0,0,0,0,0,0
c1651e22bd7ffd07fb98d8f5db99b337,0,340,0,105,0,0,0,0,0,0,0,0,0,0
000bd81a4c175fcb8794bbab1b47c0dd,533,0,0,0,0,0,0,0,0,111,0,0,0,0
14031b6385b75f430dd2797399272f3f,0,0,0,74,0,0,0,0,49,0,0,0,330,0
95f9437ffd50bd8809bbe046c5063aaf,0,0,0,0,0,118,0,0,0,0,0,0,80,0
684bbba7619ed78f45e4dd741184dcf7,0,199,0,0,0,210,0,0,0,0,0,0,214,0
944663b8e43a914ec1ab30847a8094cf,0,0,0,0,0,0,0,0,0,0,0,0,265,0
ba73f90009d723cc1863982baeea1902,90,0,0,0,0,0,0,0,0,0,0,0,0,0
3c1cc4fbca67cb218a86b6e294625926,375,0,0,0,0,0,0,0,73,0,0,0,0,0
7611dfe89382807cfc8fcc483f83f577,174,0,0,0,0,0,168,0,0,70,0,72,0,158
ffe60585a3d1adf37a4dac56862793e0,0,0,0,0,0,0,0,0,0,0,305,0,0,0
a7a593f5276babc770452abb5bcf2b98,0,0,0,42,0,0,0,0,0,0,0,0,0,0
21aecbb519534aa1d58b03492f5ba7a0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
1157139fcc76a9f7f895ebfe96ce2bab,0,0,0,0,0,195,0,0,0,0,0,0,0,0
10528055652ec0347140eb13b647b688,242,0,0,0,0,0,0,0,0,0,0,0,65,0
34d151bcbcf3e6e101dc5f8b9d362ef3,0,0,0,0,0,0,0,0,0,0,0,0,145,0
9686e061a1c0571a4207488a8a28f1b3,199,0,0,0,0,0,0,0,349,0,0,0,0,0
23b96f514bb33eefd41ae44b37805b42,0,0,32,0,0,0,0,0,0,215,0,0,695,0
52668855f7865c0b8c2e6646f7560b70,0,0,0,0,0,78,0,0,0,0,0,0,0,0
5ca7b0a0a1ff5e566488e0c403a33292,238,0,0,0,0,0,151,0,0,0,0,51,0,0
f76760c8b5608bc4f3b55cdf336993a2,0,69,0,83,0,66,0,0,0,0,0,0,0,0
db61794903b11e2a0af58c4024dd0d2b,20,0,0,0,0,0,0,0,0,0,0,0,0,0
dd7472754120b5b8916735c462415a92,0,225,0,189,0,0,0,0,0,0,0,0,0,0
05059ec5477ce971d75b59e376c4b698,0,0,0,0,0,397,0,0,0,0,0,0,105,0
1344e42c1dac30d87f0423243a6fe412,0,0,0,177,0,0,0,0,0,0,0,0,0,24
8311e25f669a1df97f46ab88a2fed652,0,92,0,0,0,0,0,0,0,0,0,0,0,0
70423304f1e65c127533e10752f98909,66,0,164,0,0,0,0,0,0,0,0,0,0,0
01b70c358fb68d07b92b270841b6b5e0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
5bbf9126e3492cd6f8f2e45e8b1ba3eb,0,50,0,0,0,0,0,0,0,0,0,0,0,0
