OTUID,S6,S10,S11,S15,S22,S23,S25,S26,S28
aaf2e3f8483523218488d4adcb404404,0,0,0,0,0,0,0,101,0
de496f31d9e2f06db5c9e3ef8b95afff,0,1233,0,0,0,0,0,0,0
0f986cb6e08e8e0e27a631694e0ee608,0,0,40,0,0,0,182,0,0
3e145e5b89e14039c03adc4c52fd4886,151,0,0,0,0,0,0,0,0
5270ecc0cc323e0f2fe5b2f4d1279903,0,0,81,0,0,0,0,0,0
e12fcad9d10849440a313cda1470f8df,0,0,0,111,0,0,0,0,0
56d89eac3457ded073e9547c55d8fad4,0,0,0,183,0,0,0,0,0
0755f6f6172e7f556caf6ea28197c2e4,291,0,0,0,0,0,0,0,0
2ef7d7a58f08d7ea6c8480087fc71bb0,0,0,0,242,0,0,0,0,0
21ab55b7fe697413c14f46f1c9b1e2e2,0,0,217,135,0,0,0,0,0
3c51390a286fde6636962cf271090fa4,435,0,0,0,0,0,0,0,0
7c40978d4e3e19c5c524febbdb0d449d,0,0,0,33,0,0,0,0,0
e20dcd636544270febbf4caab24d6491,0,0,0,167,0,0,0,0,0
9ac6c70de599380f3bbb301a4462a7bf,133,0,0,0,0,0,0,0,0
4d4489f9009d5e29cecef45b6ff8588a,0,0,0,0,0,52,0,0,0
8f79a96adf5d4599bfaf5ca7b17c77f1,0,0,0,362,0,0,0,0,0
2230f83a69b3ad6df956609e5196ff1c,322,0,0,0,0,0,0,0,0
1e1ba2879ee4a670cf90513c9f9b78dc,0,0,0,180,0,0,0,0,0
7c5eece193d60a8e041bf866a38da046,271,0,0,166,0,0,0,0,0
07e923ec80c7aee226645e232aa105e7,140,0,0,0,0,0,193,0,0
c4c3359e321229cd1ee0967e9e2cd424,166,0,0,0,0,0,0,0,0
e9d2f538d8de6b77c23f9dadaa036807,127,0,0,0,0,0,0,0,0
9a7111af61e89d3af766f5a10d4df8f2,0,7,0,0,0,0,0,0,0
ac44773714261ef66160e1437387da15,0,591,0,0,0,0,132,0,0
5203028b457fbe782c74a65f24beeba4,0,0,0,0,70,0,0,0,0
2117af648b64a1fb631b2ef76db031fd,0,221,0,131,0,0,0,0,0
b60244428c381cf914c955575988200d,0,0,0,0,59,0,0,0,0
de7c1688b64aa1b566fe7d7be62b147e,0,0,0,0,0,0,211,0,0
cfbfd35a7f22fcb5fb6941e0939e9828,0,0,0,0,0,36,0,0,0
694702e1019cde0910beee29edfc4bf5,0,807,0,0,0,0,0,0,0
467cabb6f2971dba15437514e895860f,0,0,0,420,0,0,0,0,0
1c4cfc827351b47ae73a852d80a8efca,0,0,308,0,0,0,0,0,0
59b853307fe78e41a61f1e41f9ddb2b6,0,0,0,0,0,0,0,149,0
4ecc1dbec7181dcf52705ac3ca0076eb,92,0,0,0,0,0,0,0,0
e6601cd9c7705089abcc1081743a1260,0,0,0,148,0,0,0,0,0
ca038391f48f3c43bd743f6063c8d3a4,0,0,39,0,0,0,0,0,0
8090f3655cb903fd9eb62b1f9d5f1f68,109,0,0,0,0,0,0,0,0
ccb619292de699076559494cdef3f9ef,0,0,0,180,0,0,0,0,0
6078cf2e7ceb5927918b26dc44302bef,0,0,0,0,0,0,31,0,0
56e19a4a2ecd2be7f4ec9c8745a5f765,0,0,0,0,0,0,229,0,0
f416df89b9564b5e35d68d9e989bbbb7,0,0,0,73,0,0,248,0,248
330dcf2df7083ad11db1e1461d476906,863,0,0,0,0,0,0,0,0
4de51e88d526470274e631c5df28cefa,250,0,0,0,0,0,0,0,0
c1651e22bd7ffd07fb98d8f5db99b337,243,0,0,0,0,0,0,0,0
00ee53c44e11ed67111bfde82bffb47e,347,0,0,0,0,0,0,0,0
13518c413bfd20965f2540cb2cd860da,44,0,0,182,0,0,0,0,0
2741d694304008077b3984112548839a,0,0,0,0,0,57,0,0,0
ba73f90009d723cc1863982baeea1902,268,0,0,0,0,0,0,0,0
f34bff85d983f343ffa54dfbfa3d64f7,0,0,272,0,0,0,0,0,0
569c10294308c03c79633b6bbdaf2b56,0,0,0,0,0,0,132,0,0
7ef9e460f829f40f6471860c4cfac5c1,0,0,0,212,0,0,0,0,0
21aecbb519534aa1d58b03492f5ba7a0,0,0,0,0,0,0,0,0,80
af9575a5519ebe344d3cca7c8f505db5,0,0,0,206,0,0,0,0,0
f08b9ea2beb32f78e3e162fe46cf1e12,0,0,163,0,0,0,0,0,0
34d151bcbcf3e6e101dc5f8b9d362ef3,111,0,0,0,0,0,0,0,0
1fe4ff4e04a0678740826aab52d8c68a,0,0,0,0,63,0,110,0,0
23b96f514bb33eefd41ae44b37805b42,0,0,0,0,0,0,123,0,0
4d3ebe42f3af9aedd5ba07f617bea16b,0,0,0,79,0,0,0,0,0
9adfa259bfca0d4413ea8a2e841902f6,63,0,0,0,0,0,0,0,0
54f6140dee6e9ae02bcc3c51b5ad60b9,0,989,0,0,0,0,0,0,0
c7b3d87c1c3499d9527b7649b48785eb,68,0,0,0,0,0,0,0,0
db61794903b11e2a0af58c4024dd0d2b,0,0,0,0,0,0,197,0,0
8311e25f669a1df97f46ab88a2fed652,0,0,0,150,0,0,0,0,0
6998cf04d6eaf919bf25627fb2ea6385,0,0,0,0,0,0,0,30,0
a3a5b34fe5d46b30ba8f1d3d7c776ca0,0,0,155,0,0,0,0,0,0
a6e6cb34bfd9ef349b5b85be1875e37f,0,0,0,0,0,0,0,0,22
955b72139887fe69addb348e26909657,0,0,0,0,0,0,135,0,0
8848cc5603eaef4a0eda337e2d7ed879,0,0,0,0,90,0,0,0,0
6388cdf3ff4c4010c9f12d6766cd8fde,0,183,0,0,0,0,0,0,0
da5cfd6fa84d0bbd10398f42ba81de91,0,0,0,0,0,0,88,0,0
f06cce97268f87515f0813278f32679d,0,0,0,0,0,0,0,275,0
6bba742c556ec04c96b0247719125a09,0,0,0,0,0,0,98,0,0
ca68f5072dd1b11f9968b45793940158,529,0,0,0,0,0,0,0,0
1815f7c40b56097941ccc7751bbf5dd0,77,0,0,0,0,0,0,0,0
cbbb661a4515e41bb22268de5bb3bb9e,439,0,0,0,0,0,0,0,0
4707dd50193fa3069014a78f2809c497,0,0,364,0,0,0,0,0,16
ae98a4ef129cba5e39d74c806b450fc3,0,0,0,0,0,0,0,0,48
b929dce5d9f1d94d9fde0b976e7b2b2f,60,0,0,0,0,0,0,0,0
84b6e257cc5260749a9abd561a599d6f,0,0,101,0,0,0,0,0,0
d08da8e8708b8187bbcc5fd71e39d7d4,100,0,0,0,0,0,0,0,0
94ab57907870540cc6d30f80a39a347a,0,0,0,263,0,0,473,0,0
06184df48bc2b2e2e1f3965f9427564f,0,0,79,0,0,0,0,0,0
ea9914d659606726f95432bd0b7ae8ce,0,0,220,0,0,0,0,0,0
5da0a606b9bebab5b174b432834cf8b7,269,0,0,0,0,0,0,0,0
03adc0ea09ffa9e2a4f79a9c8486bffe,0,774,0,0,0,0,0,0,0
25beecc917df7ae5ff3b434862d861de,0,0,0,0,0,0,81,0,0
aee6d0e0a2223208fbba9ce62626b930,0,58,0,190,0,0,0,0,0
9a8680ff9d73b5b01d16ee1a5b3d65f6,0,139,0,0,0,0,0,0,0
aaabefc4e6e6e6fd45afd5510eb87f75,243,0,0,0,0,0,0,0,0
0a514d819239c05b876f9631ea57a9a5,440,0,0,0,0,0,0,0,0
14fbc697f5d42bf739a5cb20c3e4b64e,0,0,0,212,0,0,0,0,0
a824f12c284a6e394ff9d3f7e261d55c,0,76,0,0,0,0,0,0,0
228b0716951c3aec256d73a2eaeb0a76,0,0,0,0,0,31,0,0,21
8eb88078dfc1508b9d496d2e0c4010dd,0,0,41,0,0,0,0,0,0
9f09b7d5642a02196c3c5e5843871f14,505,0,0,170,0,0,0,0,0
e7718fde06e486312d14e19d4f05321c,0,166,0,0,0,0,0,0,0
f85fafe8932549c18605680ccbc8e4b6,260,0,0,0,0,0,0,0,0
d5e870e19479190641f8a80fada1d293,0,0,0,94,0,0,0,0,0
d494cb1e9a8231c002b3f65461bac8ae,0,248,0,0,0,0,0,0,0
d46e77c888c8af38e8e376d2bdcfdf12,179,0,0,46,0,0,0,0,0
504c1fcc14cacc40d39e6744e739e72f,0,149,0,0,0,0,0,0,0
584e4d9789380474c2f3b3c4160b5bdd,0,0,0,9,0,0,0,0,0
870d270e88489e87cd30e97be859d897,0,0,0,0,0,0,0,14,0
a328e30f967521a47efdfef26cc15724,403,0,0,0,0,0,0,0,0
4eb5a4e5addaca8634f70ba6dbf3c639,0,0,0,98,0,0,0,0,0
d656bfc5d6c594e6fd24c317b8b273fa,0,138,0,0,0,0,0,0,0
5fd288b9468a45d70886e3b172e59ece,65,0,0,0,0,0,0,0,0
27f8f51234e461d4f6416293a7ac8ad9,0,0,0,0,0,0,144,0,0
105e122cf92a257b6f95534729df802b,401,0,0,0,0,0,0,0,0
93fc4cc04b3f86dfd67bee6f7e449358,0,0,0,0,32,0,0,0,0
293a22558eaeca3742096233a2c20f60,0,0,0,0,0,0,67,0,0
376d1a1242c4125ded7ae5d0cd8f4a76,0,0,196,0,0,0,0,0,0
10eb84061a67e2c57548b001d713dc63,0,0,66,0,0,0,0,0,0
