OTUI,006W2,012W2,014W2,015W2,016W2,017W2,018W2,103W2,104W2,105W2,107W2,108W2,109W2
8f27cb14dc5ef3b6add9c716cec7fbf5,0,0,45,0,0,0,0,0,0,0,87,0,0
2ef7d7a58f08d7ea6c8480087fc71bb0,0,0,0,81,0,0,0,0,0,0,0,0,0
0d7a875b8b5a993ca1686f71e170e871,0,0,0,68,0,0,0,0,0,0,0,0,0
9ac6c70de599380f3bbb301a4462a7bf,92,0,72,0,0,0,0,0,0,0,0,0,0
2230f83a69b3ad6df956609e5196ff1c,368,0,0,0,0,0,0,0,0,0,0,0,0
94584d2e4a6c39a7ca14109eb87a7e26,0,0,0,0,157,0,0,0,0,0,0,0,17
2ae9b8a5b73030035131a0d8fcc18bfb,269,0,0,0,0,0,0,0,0,0,0,0,0
1e1ba2879ee4a670cf90513c9f9b78dc,111,0,0,0,0,0,0,0,0,0,0,0,0
7c5eece193d60a8e041bf866a38da046,0,0,0,0,0,0,0,0,0,0,110,0,0
e9d2f538d8de6b77c23f9dadaa036807,0,0,0,72,0,0,0,0,0,0,0,0,0
9a7111af61e89d3af766f5a10d4df8f2,273,0,0,0,0,0,0,0,0,0,0,0,0
9e2604f7c87c8903c9da24810313b0ff,0,0,0,20,0,0,0,0,0,0,0,0,0
a649b66752ff33701a9be6feb99277e4,0,0,0,0,0,0,0,0,0,0,0,0,77
14e1555b8582ae546a72434b43824459,199,0,0,0,0,0,0,0,0,0,0,0,0
c66233144569c89836063e919b3662c8,0,0,0,0,164,0,0,0,0,0,0,0,0
9526ea1c8274c0d216c4075319cbe387,0,0,0,0,0,0,158,65,0,0,0,0,0
e12051cb8aa81f7d0ba1d37a3206504c,79,0,0,0,0,0,0,0,0,0,0,0,0
1c4cfc827351b47ae73a852d80a8efca,0,0,23,0,0,0,0,0,0,0,0,0,0
ccb619292de699076559494cdef3f9ef,0,0,0,0,56,0,0,0,0,0,0,0,0
18c0d9f42fa2535bbb9e554ff7800f16,0,0,0,0,0,0,0,0,0,0,0,0,12
56e19a4a2ecd2be7f4ec9c8745a5f765,0,0,0,0,0,0,0,0,0,0,111,0,0
ff70b1b27e33cc404eaa28bf321d4f87,0,0,637,0,0,0,0,0,0,0,0,1236,0
f416df89b9564b5e35d68d9e989bbbb7,0,0,0,31,0,0,0,0,0,0,0,0,0
752bfe010f43fadb4503158148b97b64,0,0,0,0,0,0,0,0,0,0,0,0,238
330dcf2df7083ad11db1e1461d476906,128,0,0,0,0,0,0,0,0,0,0,0,0
14031b6385b75f430dd2797399272f3f,0,0,0,0,0,0,0,0,0,0,30,62,0
684bbba7619ed78f45e4dd741184dcf7,0,0,107,0,0,0,0,0,0,0,0,0,0
e881c1a3829669d9a9b08ad9812095f1,0,358,0,0,0,0,0,0,0,0,0,0,0
13518c413bfd20965f2540cb2cd860da,0,0,0,0,0,0,58,0,0,0,0,0,0
569c10294308c03c79633b6bbdaf2b56,0,52,0,0,150,0,0,0,0,0,0,0,0
92bcc5abc7dbc62d6558ccd962e73430,0,0,0,0,0,0,0,0,0,0,139,0,0
336bd2d58ba02e8aefb3eed10b43ec26,0,0,0,0,0,0,34,0,0,0,0,0,0
9aca970c6e6bbcb36f56abc7ade8cb42,0,0,0,0,0,0,0,0,0,0,0,0,74
1157139fcc76a9f7f895ebfe96ce2bab,0,0,0,0,94,0,0,0,0,0,0,0,0
10528055652ec0347140eb13b647b688,0,0,0,0,76,0,0,0,0,0,0,0,0
8e50dc1588ce7de26bf580405df574b0,0,0,0,353,1111,0,0,0,0,0,0,0,0
f08b9ea2beb32f78e3e162fe46cf1e12,0,0,0,0,135,0,0,0,0,0,0,0,0
1fe4ff4e04a0678740826aab52d8c68a,0,0,0,0,0,0,0,0,9,0,0,150,0
9686e061a1c0571a4207488a8a28f1b3,349,0,0,0,0,0,0,0,0,0,0,0,0
b4d111d2455cf0a0d5f81aa2e4cec78a,0,0,0,80,0,0,0,0,0,0,0,0,0
54f6140dee6e9ae02bcc3c51b5ad60b9,0,0,0,0,0,0,0,0,0,0,0,0,34
3671832cda8421bcc5d47249444e6e6d,0,0,0,0,0,0,0,0,0,0,0,0,54
db61794903b11e2a0af58c4024dd0d2b,0,110,96,0,0,0,28,0,77,0,0,0,61
beffc1e06cac416305bce1874f3c528a,0,0,0,66,0,0,0,0,0,0,0,0,0
01b70c358fb68d07b92b270841b6b5e0,0,0,0,0,113,0,0,0,0,0,0,0,0
a6e6cb34bfd9ef349b5b85be1875e37f,0,0,0,179,0,0,0,0,0,0,0,0,0
955b72139887fe69addb348e26909657,0,0,0,0,69,0,0,124,0,0,0,0,0
8848cc5603eaef4a0eda337e2d7ed879,187,0,0,3,0,0,0,0,0,0,0,0,0
8d00d522295a211e92ee4b3d6a8fb0a8,178,0,0,0,0,0,0,0,0,0,0,0,0
a9117f57ecef322ad663c6a269332e66,0,0,0,0,0,0,0,0,0,31,0,0,0
56a4ecfbd6479509f08a37e342c0a33e,0,0,0,0,0,0,0,0,0,0,205,0,0
69ed17534d7215103a56c513c978aa19,0,0,0,118,0,0,0,0,0,0,0,0,0
06e7977be39a9c833e39ebea4fd7bbee,180,0,0,0,0,0,0,0,0,0,0,0,0
d9d8124124fd92c56c1c537c84418d71,41,0,0,0,0,0,0,0,0,0,0,0,0
da5cfd6fa84d0bbd10398f42ba81de91,0,0,0,0,116,0,0,0,138,0,0,0,0
dd317bd5297ce9a62c068d425674cfe0,205,0,0,0,0,0,0,0,0,0,0,0,0
5c0eabf107e14432b99eba06bc5f4a90,0,0,0,0,0,0,0,0,59,0,0,0,0
12ff2576d815319be71c9db04c3d15d3,0,0,0,0,326,0,0,0,0,0,0,0,0
1815f7c40b56097941ccc7751bbf5dd0,346,0,0,0,0,0,0,0,0,0,0,0,0
76dd4462ef8b0942297ab9df3f672725,0,0,599,0,0,0,0,0,0,0,0,531,0
cbbb661a4515e41bb22268de5bb3bb9e,123,0,0,0,0,0,0,0,0,0,0,0,0
29b2088867c181f54bb3cbbab51b4026,0,0,0,0,86,0,0,64,0,0,0,0,0
96346202e9caff7a180454eba4b2232d,0,0,0,0,270,0,0,0,0,0,0,0,0
b72928f77914cf7c53ae9dcafc5fbb80,0,0,0,0,237,0,0,0,0,0,0,0,0
84b6e257cc5260749a9abd561a599d6f,0,0,0,0,186,0,0,0,0,0,0,0,0
78049abfcbf672888dc96d2007563fa1,0,0,0,0,0,0,0,244,0,0,0,0,270
d08da8e8708b8187bbcc5fd71e39d7d4,0,0,0,0,84,0,0,0,0,0,0,0,0
